param2,param1,min_dist,min_radius,max_radius,dp,circles,ellipses,raw_count,adjusted,out_file,elapsed_ms
25,80,25,8,50,1.5,2731,0,2731,2457.9,output__p1=80_p2=25_md=25_r=8-50_dp=1.5.jpg,12338.1
25,80,40,8,50,1.0,845,0,845,760.5,output__p1=80_p2=25_md=40_r=8-50_dp=1.0.jpg,620.5
25,80,40,8,50,1.2,1049,0,1049,944.1,output__p1=80_p2=25_md=40_r=8-50_dp=1.2.jpg,1698.9
25,80,40,8,50,1.5,1113,0,1113,1001.7,output__p1=80_p2=25_md=40_r=8-50_dp=1.5.jpg,1675.5
25,120,15,8,50,1.0,2741,0,2741,2466.9,output__p1=120_p2=25_md=15_r=8-50_dp=1.0.jpg,370.8
25,120,15,8,50,1.2,5680,0,5680,5112.0,output__p1=120_p2=25_md=15_r=8-50_dp=1.2.jpg,1312.3
25,120,15,8,50,1.5,7131,0,7131,6417.900000000001,output__p1=120_p2=25_md=15_r=8-50_dp=1.5.jpg,2064.6
25,120,25,8,50,1.0,1407,0,1407,1266.3,output__p1=120_p2=25_md=25_r=8-50_dp=1.0.jpg,349.1
25,120,25,8,50,1.2,2342,0,2342,2107.8,output__p1=120_p2=25_md=25_r=8-50_dp=1.2.jpg,1299.8
25,120,25,8,50,1.5,2692,0,2692,2422.8,output__p1=120_p2=25_md=25_r=8-50_dp=1.5.jpg,1725.3
25,120,40,8,50,1.0,718,0,718,646.2,output__p1=120_p2=25_md=40_r=8-50_dp=1.0.jpg,377.3
25,120,40,8,50,1.2,976,0,976,878.4,output__p1=120_p2=25_md=40_r=8-50_dp=1.2.jpg,1686.8
25,120,40,8,50,1.5,1095,0,1095,985.5,output__p1=120_p2=25_md=40_r=8-50_dp=1.5.jpg,3903.7
35,50,15,8,50,1.0,636,0,636,572.4,output__p1=50_p2=35_md=15_r=8-50_dp=1.0.jpg,215.7
35,50,15,8,50,1.2,3990,0,3990,3591.0,output__p1=50_p2=35_md=15_r=8-50_dp=1.2.jpg,779.3
35,50,15,8,50,1.5,6748,0,6748,6073.2,output__p1=50_p2=35_md=15_r=8-50_dp=1.5.jpg,2156.2
35,50,25,8,50,1.0,485,0,485,436.5,output__p1=50_p2=35_md=25_r=8-50_dp=1.0.jpg,171.2
35,50,25,8,50,1.2,1860,0,1860,1674.0,output__p1=50_p2=35_md=25_r=8-50_dp=1.2.jpg,1207.3
35,50,25,8,50,1.5,2582,0,2582,2323.8,output__p1=50_p2=35_md=25_r=8-50_dp=1.5.jpg,1775.8
35,50,40,8,50,1.0,375,0,375,337.5,output__p1=50_p2=35_md=40_r=8-50_dp=1.0.jpg,162.3
35,50,40,8,50,1.2,851,0,851,765.9,output__p1=50_p2=35_md=40_r=8-50_dp=1.2.jpg,617.2
35,50,40,8,50,1.5,1057,0,1057,951.3000000000001,output__p1=50_p2=35_md=40_r=8-50_dp=1.5.jpg,2127.0
35,80,15,8,50,1.0,405,0,405,364.5,output__p1=80_p2=35_md=15_r=8-50_dp=1.0.jpg,178.2
35,80,15,8,50,1.2,3165,0,3165,2848.5,output__p1=80_p2=35_md=15_r=8-50_dp=1.2.jpg,483.2
35,80,15,8,50,1.5,6368,0,6368,5731.2,output__p1=80_p2=35_md=15_r=8-50_dp=1.5.jpg,1469.6
35,80,25,8,50,1.0,332,0,332,298.8,output__p1=80_p2=35_md=25_r=8-50_dp=1.0.jpg,107.1
35,80,25,8,50,1.2,1590,0,1590,1431.0,output__p1=80_p2=35_md=25_r=8-50_dp=1.2.jpg,452.5
35,80,25,8,50,1.5,2487,0,2487,2238.3,output__p1=80_p2=35_md=25_r=8-50_dp=1.5.jpg,1568.8
35,80,40,8,50,1.0,290,0,290,261.0,output__p1=80_p2=35_md=40_r=8-50_dp=1.0.jpg,119.0
35,80,40,8,50,1.2,770,0,770,693.0,output__p1=80_p2=35_md=40_r=8-50_dp=1.2.jpg,390.4
35,80,40,8,50,1.5,1024,0,1024,921.6,output__p1=80_p2=35_md=40_r=8-50_dp=1.5.jpg,1321.1
35,120,15,8,50,1.0,236,0,236,212.4,output__p1=120_p2=35_md=15_r=8-50_dp=1.0.jpg,106.0
35,120,15,8,50,1.2,2166,0,2166,1949.4,output__p1=120_p2=35_md=15_r=8-50_dp=1.2.jpg,339.4
35,120,15,8,50,1.5,5634,0,5634,5070.6,output__p1=120_p2=35_md=15_r=8-50_dp=1.5.jpg,1069.8
35,120,25,8,50,1.0,214,0,214,192.6,output__p1=120_p2=35_md=25_r=8-50_dp=1.0.jpg,100.4
35,120,25,8,50,1.2,1218,0,1218,1096.2,output__p1=120_p2=35_md=25_r=8-50_dp=1.2.jpg,281.6
35,120,25,8,50,1.5,2313,0,2313,2081.7000000000003,output__p1=120_p2=35_md=25_r=8-50_dp=1.5.jpg,947.7
35,120,40,8,50,1.0,196,0,196,176.4,output__p1=120_p2=35_md=40_r=8-50_dp=1.0.jpg,98.2
35,120,40,8,50,1.2,659,0,659,593.1,output__p1=120_p2=35_md=40_r=8-50_dp=1.2.jpg,242.5
35,120,40,8,50,1.5,956,0,956,860.4,output__p1=120_p2=35_md=40_r=8-50_dp=1.5.jpg,934.0
